currency pair
11 719 721.18 USD
138 451.19 USD
106 518.10 USD
95 990.01 USD
65 402.42 USD
25 614.54 USD
12 933.52 USD
11 345.72 USD
5 175.10 USD
1 281.54 USD
849.10 USD
795.14 USD
718.00 USD
466.79 USD
444.25 USD
415.87 USD
318.21 USD
323.95 USD
268.69 USD
242.12 USD
211.25 USD
189.85 USD
188.50 USD
120.89 USD
106.15 USD
62.60 USD
53.64 USD
43.56 USD
39.97 USD
33.47 USD
18.80 USD
9.26 USD
8.97 USD
2.67 USD
3.00 USD
2.00 USD
1.25 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
0.00 USD
1.09 USD
0.00 USD
0.00 USD
